,text,title,observer,event,year
10," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy NGC 1325. We discovered ATLAS21bidw (AT2021yja) on MJD 59465.55 == 2021-09-08.55, at m_c = 15.33 +/- 0.01. There was no detection by ATLAS on MJD 59463.48 == 2021-09-06.48. ATLAS21bidw is offset by 77.7 arcsec south, 61.3 arcsec west from NGC 1325, which is at z =  or d = 22 Mpc (redshift independent, from NED), implying an absolute magnitude of M = -16.42 (assuming m-M = 31.69 and A_g = 0.07 and A_r = 0.05). Followup observations are encouraged.
The Asteroid Terrestrial-impact Last Alert System (ATLAS) project is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area. This work was partially funded by Kepler/K2 grant J1944/80NSSC19K0112 and HST GO-15889, and STFC grants ST/T000198/1 and ST/S006109/1. The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, the Space Telescope Science Institute, the South African Astronomical Observatory, and The Millennium Institute of Astrophysics (MAS), Chile. 

", ATLAS21bidw (AT2021yja): discovery of a candidate SN in NGC 1325 (22 Mpc),ATLAS,,2021
11," The adH0cc programme for an ""accurate determination of H0 with core-collapse supernovae"" reports the classification of the optical transient SN 2020cye. The target was supplied by the Zwicky Transient Facility ZTF (Kulkarni 2018, 2018ATel11266....1K). The observations were performed on the night of 2020 February 20 with the ESO Very Large Telescope UT1, equipped with the FORS2 spectrograph and grism 300V, covering a wavelength range from 3400 to 9600A at a resolution of 10A.

", adH0cc spectroscopic classification of SN 2020cye,ZTF,,2020
12," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova in the galaxy UGC 12218. We discovered ATLAS20befn (AT2020xua) on MJD 59143.34 == 2020-10-21.34, at m_c = 18.08 +/- 0.05. There was no detection by ATLAS on MJD 59141.35 == 2020-10-19.35. ATLAS20befn is offset by 3.3 arcsec north, 6.3 arcsec east from its likely host galaxy UGC 12218, which is at z = 0.021 or d = 95.58 Mpc (from NED), implying an absolute magnitude of M = -17.06 (assuming m-M = 34.90 and A_g = 0.29 and A_r = 0.20). 
A finder and the forced photometry plots are attached, followup observations are encouraged. 
This work has made use of data from the Asteroid Terrestrial-impact Last Alert System (ATLAS) project. ATLAS is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area.  The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, and the Space Telescope Science Institute. 

", ATLAS20befn (AT2020xua): discovery of a candidate supernova in UGC 12218 (95 Mpc),ATLAS,,2020
13," ePESSTO+, the extended Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Tonry et al. 2018 2018PASP..130f4505T), the Zwicky Transient Facility ZTF (Kulkarni 2018 2018ATel11266....1K) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S) and the All Sky Automated Survey for SuperNovae ASAS-SN (see Shappee et al. 2014 2014ApJ...788...48S).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2019 May 23, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B) and Superfit (Howell et al. 2005 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2019
14," ATLAS is a twin 0.5m telescope system on Haleakala and Mauna Loa which is robotically surveying the sky above declination -40 with a cadence of 2 days (Tonry et al. 2018, PASP,130:064505). Two filters are used, cyan and orange (denoted c and o; all mags quoted are in the AB system). While carrying out the primary mission for Near Earth Objects, we search for and publicly report stationary transients to the IAU Transient Name Server.  Data processing is carried out at Queen's University which combines automated source parameter filtering, machine learning image recognition, and spatial cross-matching with astronomical catalogues (Smith et al. 2020, PASP, 132:085002). More information is on the ATLAS homepage. We are submitting AstroNotes for transients that are either within 100 Mpc, or have some other interesting feature to bring to the community's attention, such as bright nuclear transients, slowly rising or rapidly fading objects.
We report a new transient source, most likely a supernova, or possibly a TDE, in the galaxy WISEA J213229.84+052046.4. We discovered ATLAS21biyk (AT2021zfs) on MJD 59478.39 == 2021-09-21.39, at m_o = 16.23 +/- 0.03. There was no detection by ATLAS on MJD 59470.38 == 2021-09-13.38. ATLAS21biyk is offset by 0.1 arcsec south, 0.2 arcsec east from WISEA J213229.84+052046.4, which is at z = 0.020 or d = 77 Mpc (from NED), implying an absolute magnitude of M = -18.33 (assuming m-M = 34.43 and A_r = 0.15 and A_i = 0.11).  The transient is close to or at the nucleus of the host galaxy, which may be of type S0/E, and the SDSS spectrum is consistent with a mostly quiescent galaxy. Immediate spectroscopic classification is encouraged.
The Asteroid Terrestrial-impact Last Alert System (ATLAS) project is primarily funded to search for near earth asteroids through NASA grants NN12AR55G, 80NSSC18K0284, and 80NSSC18K1575; byproducts of the NEO search include images and catalogs from the survey area. This work was partially funded by Kepler/K2 grant J1944/80NSSC19K0112 and HST GO-15889, and STFC grants ST/T000198/1 and ST/S006109/1. The ATLAS science products have been made possible through the contributions of the University of Hawaii Institute for Astronomy, the Queen's University Belfast, the Space Telescope Science Institute, the South African Astronomical Observatory, and The Millennium Institute of Astrophysics (MAS), Chile. 

", ATLAS21biyk (AT2021zfs): discovery of a nuclear transient in WISEA J213229.84+052046.4 (77 Mpc),ATLAS,,2021
15," The adH0cc programme for an ""accurate determination of H0 with core-collapse supernovae"" reports the classification of the optical transient SN 2021jpk. The target was supplied by the Zwicky Transient Facility ZTF (Kulkarni 2018, 2018ATel11266....1K) and the ATLAS survey (Tonry et al. 2018, 2018PASP..130f4505T). The observations were performed on the night of 2021 April 16 with the ESO Very Large Telescope UT1, equipped with the FORS2 spectrograph and grism 300V, covering a wavelength range from 3400 to 9600 Å at a resolution of 10 Å.

", adH0cc spectroscopic classification of SN 2021jpk ,ZTF,,2021
16," ePESSTO+, the advanced Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Tonry et al. 2018 2018PASP..130f4505T) and the Zwicky Transient Facility ZTF (Kulkarni 2018 2018ATel11266....1K) - data stream processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S).
Observations were performed on the ESO New Technology Telescope (NTT) at La Silla on the night of 2020 Jan 15, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution). Classifications were done using SNID (Blondin & Tonry 2007 2007ApJ...666.1024B), Superfit (Howell et al. 2005 2005ApJ...634.1190H) and astroDASH (Muthukrishna et al. 2019 2019arXiv190302557M).
The classification spectra and additional details can be obtained from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2020
17," The adH0cc programme for an ""accurate determination of H0 with core-collapse supernovae"" reports the classification of the optical transients SN 2020tug and SN 2020tly. The targets were supplied by the Zwicky Transient Facility ZTF (Kulkarni 2018, 2018ATel11266....1K) and the ATLAS survey (Tonry et al. 2018, 2018PASP..130f4505T). The observations were performed on the night of 2020 September 21 with the ESO Very Large Telescope UT1, equipped with the FORS2 spectrograph and grism 300V, covering a wavelength range from 3400 to 9600 Å at a resolution of 10 Å. Classifications were done with the help of GELATO (Harutyunyan et al. 2008, 2008A&A...488..383H).

", adH0cc spectroscopic classifications of SN 2020tug and SN 2020tly,ZTF,,2020
18," We are carrying out the ""Pan-STARRS Search for Kilonovae"", a focused search for intrinsically faint transients, or rapidly evolving transients in galaxies that are closer than 200 Mpc in the ongoing Pan-STARRS Near-Earth Object surveys (see Smartt et al. AstroNote 2019-48 for details). We will release AstroNotes for all these candidates and encourage spectroscopic classification or photometric follow-up. 
In normal survey mode, Pan-STARRS1 takes 4 x 45s exposures in w, i or z each night, reaching 5 sigma magnitudes of w<22, i<21 and z<20.5 in each frame (see Chambers et al. 2016, 1612.05560). The w-band filter is a broad g+r+i composite. 
We report the discovery of an intrinsically faint transient PS21gqd (AT2021qvw) in the host galaxy CGCG 454-019, at a redshift of z = 0.025, or d = 111 Mpc (from NED). The transient was discovered on MJD 59386.55 (2021-06-21, 13:14:16 UTC) at mag m_w = 21.40 +/- 0.16. It is offset from the host by 11.3"" S, 4.0"" W (a projected 6.2 kpc radius from the galaxy centre). At this distance the absolute magnitude is M_w = -14.0 +/- 0.2 (assuming m-M = 35.23 and foreground exinction of  A_w = 0.14).
We followed the object up with Pan-STARRS1 three days later, measuring m_w = 22.12 +/- 0.26 on MJD 59389.56 (2021-06-24.56) with stacked forced photometry. Using forced photometry across both epochs, we measure a fading of 0.25 +/- 0.09 mag per day in the PS1 w-band. A screenshot of the Pan-STARRS flux (uJy) lightcurve and finder are included below.
There was no detection at the position of PS21gqd by Pan-STARRS when the field was last visited on MJD 59209. Running the transient position through the ATLAS forced photometry server (see Shingles et al. AstroNote 2021-7, Smith et al. 2020, PASP, 132, 085002 for details) and the ZTF forced-photometry service (Masci, F. et al. 2018, PASP, 131, 995.) revealed no obvious detection of a point source either historically or recently. This suggests the transient is likely intrinsically faint and not an old, fading supernova. Recent ATLAS and ZTF non-detections place limiting magnitudes of m_o > 20.1 on MJD 59383.54 and m_g > 20.2 and m_r > 19.5 on MJD 59385.4. A shock cooling signature of IIb supernova is possible, but it is more than 1 mag fainter than known IIb SNe cooling curves at their minimum. 
The luminosity and decline rate are consistent with the locus of viable kilonova models from Nicholl et al. (2021 arXiv:2102.02229). We measure the model decline rates for the PS1-w passband and transform them into a probability density function of decline rate versus absolute magnitude by applying a Gaussian Kernel Density Estimation. PS21gqd falls well within the limits of these kilonova model contours.
Further photometric follow-up and spectroscopic classification are strongly encouraged. 
The discoveries from this program are a byproduct of the Pan-STARRS NEO survey observations. Operation of the Pan-STARRS1 and Pan-STARRS2 telescopes is primarily supported by the National Aeronautics and Space Administration under Grant No. NNX12AR65G and Grant No. NNX14AM74G issued through the SSO Near-Earth Object Observations Program. Data are processed at Queen's University Belfast enabled through the STFC grants ST/P000312/1 and ST/T000198/1. 
We made use of data from the Asteroid Terrestrial-impact Last Alert System (ATLAS) project: (Tonry et al. 2018, PASP, 130f4505), ATLAS forced photometry server and the ZTF forced-photometry service.

", Pan-STARRS Search for Kilonovae: discovery of a fast fading and intrinsically faint transient (AT2021qvw) in CGCG 454-019 (111 Mpc),Pan-STARRS,,2021
19," ePESSTO+, the extended Public ESO Spectroscopic Survey for Transient Objects (Smartt et al. 2015 2015A&A...579A..40S), reports the following supernova classifications.
Targets were supplied by the ATLAS survey (Tonry et al. 2018 2018PASP..130f4505T), the Zwicky Transient Facility (Kulkarni 2018 2018ATel11266....1K) - processed through the Lasair broker (Smith, Williams, Young et al. 2019 2019RNAAS...3a..26S) and the All Sky Automated Survey for SuperNovae ASAS-SN (Shappee et al. 2014 2014ApJ...788...48S).
All observations reported here were performed between 2019 April 30 to May 3rd (UT), on the ESO New Technology Telescope (NTT) at La Silla using EFOSC2 and Grism 11 and 13 (3380-7520, 3985-9315A, 18A resolution). Classifications were done with SNID (Blondin & Tonry 2007 2007ApJ...666.1024B), GELATO (Harutyunyan et al. 2008 2008A&A...488..383H) and Superfit (Howell et al. 2005 2005ApJ...634.1190H).
The classification spectra and additional details can be obtained from WISeREP (also via http://www.pessto.org) and the IAU Transient Name Server.
 
The classified objects are listed in the Related Objects table below.

", ePESSTO+ spectroscopic classification of optical transients,PESSTO,,2019
20," We are carrying out the ""Pan-STARRS Search for Kilonovae"" which is a focused search for intrinsically faint transients, or rapidly evolving transients in galaxies which are closer than 200 Mpc in the ongoing Pan-STARRS Near Earth Object surveys (see Smartt et al. AstroNote 2019-48 for details). 
In normal survey mode, Pan-STARRS takes 4 x 45s exposures in w, i or z each night reaching 5 sigma magnitudes of w<22, i<21 and z<20.5 in each frame (see Chambers et al. 2016, 1612.05560). 
We report the discovery of an intrinsically faint transient PS19gtz (AT2019vrg)  in the host galaxy NGC2273A , at a redshift of z = 0.007, or d = 31.8 Mpc (from NED).  The transient was discovered at MJD 58813.61(2019-11-26.61) at mag w = 19.70+/- 0.02. It is offset from the host by102.48"" S, 31.78"" W ( a projected 10.7 kpc radius from the galaxy centre). At this distance the absolute magnitude is M_w = -11.9 (assuming m-M = 31.6 and foreground exinction of  A_r= 0.22).The object is coincident with faint extended source which could either be a region of high surface brightness of NGC2273A or a background galaxy. A spectroscopic classification is required to determine which.
Information on all objects discovered by the ""Pan-STARRS search for kilonovae"" will be made available at http://star.pst.qub.ac.uk/ps1threepi/. We will release AstroNotes for all these candidates and encourage spectroscopic classification or photometric follow-up.  A finder is attached. 
These discoveries are a byproduct of the Pan-STARRS NEO survey observations supported by the NASA Grants, including No. NNX14AM74G issued through the SSO Near Earth Object Observations Program.
 

", Pan-STARRS Search for Kilonovae: discovery of an intrinsically faint transient in NGC2273A  (32 Mpc),Pan-STARRS,,2019
21," Title- AT 2019knz(GSNST-19ag)

", GSNST-19ag(AT 2019krg),ZTF,,2019
22," We are carrying out the ""Pan-STARRS Search for Kilonovae"" which is a focused search for intrinsically faint transients, or rapidly evolving transients in galaxies which are closer than 200 Mpc in the ongoing Pan-STARRS Near Earth Object surveys (see Smartt et al. AstroNote 2019-48 for details). 
In normal survey mode, Pan-STARRS takes 4 x 45s exposures in w, i or z each night reaching 5 sigma magnitudes of w<22, i<21 and z<20.5 in each frame (see Chambers et al. 2016, 1612.05560). 
We report the discovery of an intrinsically faint transient PS19exy (AT2019pet) in the host galaxy UGC 00556, at a redshift of z = 0.015 or d = 58 Mpc (from NED).  The transient was discovered at MJD 58724.63 == 2019-08-29.63, at m_z = 20.05 +/- 0.11. It is offset from the host by 0.80"" N, 5.88"" W (a projected 1.7 kpc radius from the galaxy centre). At this distance the absolute magnitude is M_z = -13.83 (assuming m-M = 33.81 and foreground extinction of A_z = 0.072). Spectroscopic classification is encouraged. 
Information on all objects discovered by the ""Pan-STARRS search for kilonovae"" will be made available at http://star.pst.qub.ac.uk/ps1threepi/. We will release AstroNotes for all these candidates and encourage spectroscopic classification or photometric follow-up.  A finder is attached. 
These discoveries are a byproduct of the Pan-STARRS NEO survey observations supported by the NASA Grants, including No. NNX14AM74G issued through the SSO Near Earth Object Observations Program.
 

", Pan-STARRS Search for Kilonovae: discovery of an intrinsically faint transient (AT2019pet) in UGC 00556 (58 Mpc),Pan-STARRS,,2019
23," We are carrying out the ""Pan-STARRS Search for Kilonovae"" which is a focused search for intrinsically faint transients, or rapidly evolving transients in galaxies which are closer than 200 Mpc in the ongoing Pan-STARRS Near Earth Object surveys (see Smartt et al. AstroNote 2019-48 for details). 
In normal survey mode, Pan-STARRS takes 4 x 45s exposures in w, i or z each night reaching 5 sigma magnitudes of w<22, i<21 and z<20.5 in each frame (see Chambers et al. 2016, 1612.05560). 
We report the discovery of an intrinsically faint transient PS20gve (AT2020rzo)  in the host galaxy UGC00845, at a redshift of z = 0.030, or d = 128 Mpc (from NED).  The transient was discovered at MJD 59084.50 (2020-08-23.50) at mag w = 22.25 +/- 0.15. It is offset from the host by 16.0"" N, 22.0"" E ( a projected 18.8 kpc radius from the galaxy centre). At this distance the absolute magnitude is M_w = -13.42 (assuming m-M = 35.53 and foreground exinction of  A_w = 0.14).
We will release AstroNotes for all these candidates and encourage spectroscopic classification or photometric follow-up.  A finder is attached. 
The discoveries from this program are a byproduct of the Pan-STARRS NEO survey observations. Operation of the Pan-STARRS1 and Pan-STARRS2 telescopes is primarily supported by the National Aeronautics and Space Administration under Grant No. NNX12AR65G and Grant No. NNX14AM74G issued through the SSO Near Earth Object Observations Program. Data are processed at Queen's University Belfast enabled through the STFC grants ST/P000312/1 and ST/T000198/1. 
 

", Pan-STARRS Search for Kilonovae: discovery of an intrinsically faint transient in UGC00845 (128 Mpc),Pan-STARRS,,2020
